País,Provincia,Partido,Localidad,Ubicación,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps,combinado
Argentina,BUENOS AIRES,9 de Julio,12 de Octubre,"Argentina,BUENOS AIRES,9 de Julio,12 de Octubre",6588030,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Argentina,BUENOS AIRES,9 de Julio,9 de Julio,"Argentina,BUENOS AIRES,9 de Julio,9 de Julio",6588100,0,0,0,0,9,0,0,0,0,0,198,0,114,0,0,154,4824,0,235,0,98,0,2670,0,0,0,0,0,0,0,1239,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14725
Argentina,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),"Argentina,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga)",6588010,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
Argentina,BUENOS AIRES,9 de Julio,Dudignac,"Argentina,BUENOS AIRES,9 de Julio,Dudignac",6588040,0,0,0,0,0,8,0,0,0,0,36,0,0,247,0,0,46,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389
Argentina,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),"Argentina,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French)",6588060,0,0,0,0,0,1,0,193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
Argentina,BUENOS AIRES,9 de Julio,Morea,"Argentina,BUENOS AIRES,9 de Julio,Morea",6588080,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
Argentina,BUENOS AIRES,9 de Julio,Patricios,"Argentina,BUENOS AIRES,9 de Julio,Patricios",6588110,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,16,0,0,0,0,0,44,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
Argentina,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),"Argentina,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud)",6588120,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,6,0,0,0,0,0,37,0,0,0,0,0,0,0,29,0,0,0,32,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
Argentina,BUENOS AIRES,Adolfo Alsina,Carhué,"Argentina,BUENOS AIRES,Adolfo Alsina,Carhué",6007010,0,0,0,0,0,0,0,0,0,0,763,0,20,0,0,0,0,0,103,0,36,0,0,0,0,0,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3266
Argentina,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,"Argentina,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel",6007020,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208
Argentina,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,"Argentina,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón",6007050,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Argentina,BUENOS AIRES,Adolfo Alsina,Maza,"Argentina,BUENOS AIRES,Adolfo Alsina,Maza",6007070,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406
Argentina,BUENOS AIRES,Adolfo Alsina,Rivera,"Argentina,BUENOS AIRES,Adolfo Alsina,Rivera",6007080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253
Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),"Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves)",6014010,0,0,0,0,3,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,447,0,122,0,0,0,1,0,0,0,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187
Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,"Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma",6014020,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,0,7,0,28,0,45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717
Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,"Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra",6014030,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,"Argentina,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez",6014040,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Argentina,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),"Argentina,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza)",6021010,0,0,0,0,2,0,0,1,0,0,0,0,40,0,0,1,0,0,0,0,116,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463
Argentina,BUENOS AIRES,Alberti,Coronel Seguí,"Argentina,BUENOS AIRES,Alberti,Coronel Seguí",6021020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Argentina,BUENOS AIRES,Alberti,Mechita,"Argentina,BUENOS AIRES,Alberti,Mechita",6021030,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
Argentina,BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),"Argentina,BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom)",6021070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Argentina,BUENOS AIRES,Almirante Brown,Adrogué,"Argentina,BUENOS AIRES,Almirante Brown,Adrogué",6028010,0,1,10,1,34,21,0,8,0,0,1,0,63,7,0,6,12,0,0,0,37,0,254,0,0,0,0,0,0,0,135,0,0,0,3,0,0,0,0,0,3,0,0,0,0,11552,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,143,0,0,0,0,10,0,0,0,0,0,2616,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3823,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,325,0,0,0,21259
Argentina,BUENOS AIRES,Almirante Brown,Burzaco,"Argentina,BUENOS AIRES,Almirante Brown,Burzaco",6028010,53,1,9,1,23,15,0,77,0,0,14,0,34,115,0,17,82,0,0,0,30,0,671,0,0,0,0,0,0,0,60,0,0,0,1,0,0,0,0,0,5,0,0,0,0,11393,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,698,0,0,0,0,34,0,0,0,0,0,2028,0,0,0,0,0,0,0,0,0,4263,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6495,0,0,0,0,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,28662
Argentina,BUENOS AIRES,Almirante Brown,Claypole,"Argentina,BUENOS AIRES,Almirante Brown,Claypole",6028010,1,0,0,0,2,6,0,0,0,0,2,0,3,0,0,4,5,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4111,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,352,0,0,0,0,7,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,568,0,0,0,11861
Argentina,BUENOS AIRES,Almirante Brown,Don Orione,"Argentina,BUENOS AIRES,Almirante Brown,Don Orione",6028010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,225,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,312,0,0,0,0,9,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,496,0,0,0,5799
Argentina,BUENOS AIRES,Almirante Brown,Glew,"Argentina,BUENOS AIRES,Almirante Brown,Glew",6028010,1,0,5,0,7,4,0,15,0,0,5,0,27,29,0,9,12,0,0,0,16,0,203,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,27,0,0,0,0,11741,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,356,0,0,0,0,4,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,3557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,741,0,0,0,21102
Argentina,BUENOS AIRES,Almirante Brown,Jose Mármol,"Argentina,BUENOS AIRES,Almirante Brown,Jose Mármol",6028010,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,3,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,292,0,0,0,0,12,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3043,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,423,0,0,0,8991
Argentina,BUENOS AIRES,Almirante Brown,Longchamps,"Argentina,BUENOS AIRES,Almirante Brown,Longchamps",6028010,1,0,1,0,3,0,0,0,0,0,3,0,21,0,0,10,1,0,0,0,4,0,356,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7431,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,372,0,0,0,0,12,0,0,0,0,0,1149,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,525,0,0,0,16970
