País,Provincia,Partido,Localidad,Unnamed: 4,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
Argentina,BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),"Argentina,BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch)",6840010,8,7691,0,6491,105,0,0,0,14295
Argentina,BUENOS AIRES,Tres De Febrero,Villa Raffo,"Argentina,BUENOS AIRES,Tres De Febrero,Villa Raffo",6840010,5,2072,0,737,29,0,0,0,2843
Argentina,BUENOS AIRES,Tres Lomas,Tres Lomas,"Argentina,BUENOS AIRES,Tres Lomas,Tres Lomas",6847020,62,814,1,409,319,0,0,179,1784
Argentina,BUENOS AIRES,Vicente López,Carapachay,"Argentina,BUENOS AIRES,Vicente López,Carapachay",6861010,24,4964,1,2959,35,0,0,0,7983
Argentina,BUENOS AIRES,Vicente López,Florida,"Argentina,BUENOS AIRES,Vicente López,Florida",6861010,58,12315,2,9823,108,0,0,2,22308
Argentina,BUENOS AIRES,Vicente López,Florida Oeste,"Argentina,BUENOS AIRES,Vicente López,Florida Oeste",6861010,35,5545,0,3622,51,1,0,245,9499
Argentina,BUENOS AIRES,Vicente López,La Lucila,"Argentina,BUENOS AIRES,Vicente López,La Lucila",6861010,7,3522,1,2110,28,0,0,0,5668
Argentina,BUENOS AIRES,Vicente López,Munro,"Argentina,BUENOS AIRES,Vicente López,Munro",6861010,28,8576,8,7229,128,1,0,1,15971
Argentina,BUENOS AIRES,Vicente López,Olivos,"Argentina,BUENOS AIRES,Vicente López,Olivos",6861010,100,20116,4,15104,210,1,0,0,35535
Argentina,BUENOS AIRES,Vicente López,Vicente López,"Argentina,BUENOS AIRES,Vicente López,Vicente López",6861010,17,8689,3,5111,66,0,0,1,13887
Argentina,BUENOS AIRES,Vicente López,Villa Adelina,"Argentina,BUENOS AIRES,Vicente López,Villa Adelina",6861010,0,546,0,1346,10,0,0,0,1902
Argentina,BUENOS AIRES,Vicente López,Villa Martelli,"Argentina,BUENOS AIRES,Vicente López,Villa Martelli",6861010,50,5500,1,5701,46,0,0,375,11673
Argentina,BUENOS AIRES,Villa Gesell,Villa Gesell,"Argentina,BUENOS AIRES,Villa Gesell,Villa Gesell",6868020,4797,0,0,6790,14,0,0,0,11601
