Año,Trimestre,Provincia,Mbps (Media de bajada),Incremento_Velocidad,Trimestre_Label
1970,2,SAN JUAN,6,-1.0,Q2
1970,2,SAN LUIS,21,0.0,Q2
1970,2,SANTA CRUZ,7,0.0,Q2
1970,2,SANTA FE,30,-3.0,Q2
1970,2,SANTIAGO DEL ESTERO,12,-1.0,Q2
1970,2,TIERRA DEL FUEGO,8,-1.0,Q2
1970,2,TUCUMÁN,40,-2.0,Q2
1970,1,BUENOS AIRES,50,-2.0,Q1
1970,1,CABA,68,-4.0,Q1
1970,1,CATAMARCA,39,-3.0,Q1
1970,1,CHACO,33,-4.0,Q1
1970,1,CHUBUT,7,0.0,Q1
1970,1,CÓRDOBA,36,-3.0,Q1
1970,1,CORRIENTES,25,-5.0,Q1
1970,1,ENTRE RÍOS,23,-4.0,Q1
1970,1,FORMOSA,20,-3.0,Q1
1970,1,JUJUY,26,1.0,Q1
1970,1,LA PAMPA,10,-2.0,Q1
1970,1,LA RIOJA,12,-26.0,Q1
1970,1,MENDOZA,12,-1.0,Q1
1970,1,MISIONES,25,-3.0,Q1
1970,1,NEUQUÉN,34,-2.0,Q1
1970,1,RÍO NEGRO,21,-2.0,Q1
1970,1,SALTA,27,-2.0,Q1
1970,1,SAN JUAN,6,0.0,Q1
1970,1,SAN LUIS,21,0.0,Q1
1970,1,SANTA CRUZ,7,0.0,Q1
1970,1,SANTA FE,28,-2.0,Q1
1970,1,SANTIAGO DEL ESTERO,11,-1.0,Q1
1970,1,TIERRA DEL FUEGO,8,0.0,Q1
1970,1,TUCUMÁN,37,-3.0,Q1
1970,4,BUENOS AIRES,50,0.0,Q4
1970,4,CABA,67,-1.0,Q4
1970,4,CATAMARCA,37,-2.0,Q4
1970,4,CHACO,32,-1.0,Q4
1970,4,CHUBUT,7,0.0,Q4
1970,4,CÓRDOBA,35,-1.0,Q4
1970,4,CORRIENTES,25,0.0,Q4
1970,4,ENTRE RÍOS,24,1.0,Q4
1970,4,FORMOSA,19,-1.0,Q4
1970,4,JUJUY,25,-1.0,Q4
1970,4,LA PAMPA,9,-1.0,Q4
1970,4,LA RIOJA,12,0.0,Q4
1970,4,MENDOZA,11,-1.0,Q4
1970,4,MISIONES,24,-1.0,Q4
1970,4,NEUQUÉN,33,-1.0,Q4
1970,4,RÍO NEGRO,21,0.0,Q4
1970,4,SALTA,25,-2.0,Q4
1970,4,SAN JUAN,6,0.0,Q4
1970,4,SAN LUIS,21,0.0,Q4
1970,4,SANTA CRUZ,7,0.0,Q4
1970,4,SANTA FE,27,-1.0,Q4
1970,4,SANTIAGO DEL ESTERO,11,0.0,Q4
1970,4,TIERRA DEL FUEGO,8,0.0,Q4
1970,4,TUCUMÁN,36,-1.0,Q4
1970,3,BUENOS AIRES,48,-2.0,Q3
1970,3,CABA,63,-4.0,Q3
1970,3,CATAMARCA,36,-1.0,Q3
1970,3,CHACO,30,-2.0,Q3
1970,3,CHUBUT,7,0.0,Q3
1970,3,CÓRDOBA,33,-2.0,Q3
1970,3,CORRIENTES,23,-2.0,Q3
1970,3,ENTRE RÍOS,22,-2.0,Q3
1970,3,FORMOSA,18,-1.0,Q3
1970,3,JUJUY,21,-4.0,Q3
1970,3,LA PAMPA,10,1.0,Q3
1970,3,LA RIOJA,12,0.0,Q3
1970,3,MENDOZA,10,-1.0,Q3
1970,3,MISIONES,24,0.0,Q3
1970,3,NEUQUÉN,31,-2.0,Q3
1970,3,RÍO NEGRO,21,0.0,Q3
1970,3,SALTA,25,0.0,Q3
1970,3,SAN JUAN,6,0.0,Q3
1970,3,SAN LUIS,20,-1.0,Q3
1970,3,SANTA CRUZ,6,-1.0,Q3
1970,3,SANTA FE,25,-2.0,Q3
1970,3,SANTIAGO DEL ESTERO,10,-1.0,Q3
1970,3,TIERRA DEL FUEGO,8,0.0,Q3
1970,3,TUCUMÁN,34,-2.0,Q3
1970,2,BUENOS AIRES,45,-3.0,Q2
1970,2,CABA,60,-3.0,Q2
1970,2,CATAMARCA,34,-2.0,Q2
1970,2,CHACO,27,-3.0,Q2
1970,2,CHUBUT,7,0.0,Q2
1970,2,CÓRDOBA,30,-3.0,Q2
1970,2,CORRIENTES,22,-1.0,Q2
1970,2,ENTRE RÍOS,20,-2.0,Q2
1970,2,FORMOSA,16,-2.0,Q2
1970,2,JUJUY,15,-6.0,Q2
1970,2,LA PAMPA,8,-2.0,Q2
1970,2,LA RIOJA,11,-1.0,Q2
1970,2,MENDOZA,9,-1.0,Q2
1970,2,MISIONES,22,-2.0,Q2
1970,2,NEUQUÉN,29,-2.0,Q2
1970,2,RÍO NEGRO,19,-2.0,Q2
1970,2,SALTA,22,-3.0,Q2
1970,2,SAN JUAN,6,0.0,Q2
1970,2,SAN LUIS,21,1.0,Q2
1970,2,SANTA CRUZ,6,0.0,Q2
1970,2,SANTA FE,23,-2.0,Q2
1970,2,SANTIAGO DEL ESTERO,10,0.0,Q2
1970,2,TIERRA DEL FUEGO,8,0.0,Q2
1970,2,TUCUMÁN,32,-2.0,Q2
1970,1,BUENOS AIRES,45,0.0,Q1
1970,1,CABA,58,-2.0,Q1
1970,1,CATAMARCA,29,-5.0,Q1
1970,1,CHACO,25,-2.0,Q1
1970,1,CHUBUT,7,0.0,Q1
1970,1,CÓRDOBA,29,-1.0,Q1
1970,1,CORRIENTES,20,-2.0,Q1
1970,1,ENTRE RÍOS,19,-1.0,Q1
1970,1,FORMOSA,15,-1.0,Q1
1970,1,JUJUY,14,-1.0,Q1
1970,1,LA PAMPA,7,-1.0,Q1
1970,1,LA RIOJA,7,-4.0,Q1
1970,1,MENDOZA,8,-1.0,Q1
