Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2021.0,2021Q4,Corrientes,42523.0,71183.0,10138.0,6778.0,5290.0,135912.0
2021.0,2021Q4,Entre Ríos,70459.0,133387.0,23452.0,25022.0,12726.0,265046.0
2021.0,2021Q4,Formosa,17211.0,15111.0,5151.0,16018.0,172.0,53663.0
2021.0,2021Q4,Jujuy,22330.0,60511.0,24156.0,2927.0,3991.0,113915.0
2021.0,2021Q4,La Pampa,8175.0,58000.0,20192.0,19286.0,1354.0,107007.0
2021.0,2021Q4,La Rioja,10387.0,56651.0,9446.0,6613.0,31.0,83128.0
2021.0,2021Q4,Mendoza,59842.0,71553.0,109667.0,24666.0,1859.0,267587.0
2021.0,2021Q4,Misiones,41778.0,92068.0,22035.0,7649.0,7602.0,171132.0
2021.0,2021Q4,Neuquén,29175.0,72761.0,23253.0,21531.0,746.0,147466.0
2021.0,2021Q4,Río Negro,42037.0,44495.0,32212.0,16558.0,18451.0,153753.0
2021.0,2021Q4,Salta,46972.0,99808.0,39555.0,5882.0,7188.0,199405.0
2021.0,2021Q4,San Juan,35868.0,13102.0,11072.0,11423.0,8493.0,79958.0
2021.0,2021Q4,San Luis,8472.0,11064.0,30.0,70560.0,28723.0,118849.0
2021.0,2021Q4,Santa Cruz,10790.0,22902.0,10031.0,4346.0,417.0,48486.0
2021.0,2021Q4,Santa Fe,233427.0,444373.0,128856.0,43556.0,16229.0,866441.0
2021.0,2021Q4,Santiago Del Estero,19032.0,86563.0,1088.0,6256.0,2922.0,115861.0
2021.0,2021Q4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52357.0
2021.0,2021Q4,Tucumán,97830.0,59022.0,78790.0,2511.0,486.0,238639.0
2021.0,2021Q3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4251609.0
2021.0,2021Q3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1413405.0
2021.0,2021Q3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56254.0
2021.0,2021Q3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139871.0
2021.0,2021Q3,Chubut,49269.0,55794.0,8946.0,23376.0,18681.0,156066.0
2021.0,2021Q3,Córdoba,229275.0,477223.0,167495.0,57617.0,15178.0,946788.0
2021.0,2021Q3,Corrientes,44805.0,69403.0,7542.0,6766.0,5303.0,133819.0
2021.0,2021Q3,Entre Ríos,74443.0,128752.0,20485.0,23500.0,13195.0,260375.0
2021.0,2021Q3,Formosa,18093.0,14111.0,4730.0,15690.0,171.0,52795.0
2021.0,2021Q3,Jujuy,23554.0,60758.0,19926.0,2952.0,3968.0,111158.0
2021.0,2021Q3,La Pampa,9015.0,57881.0,17817.0,14479.0,1295.0,100487.0
2021.0,2021Q3,La Rioja,11329.0,54744.0,9444.0,6613.0,30.0,82160.0
2021.0,2021Q3,Mendoza,91474.0,71247.0,70579.0,21811.0,828.0,255939.0
2021.0,2021Q3,Misiones,43230.0,89469.0,10969.0,7198.0,7662.0,158528.0
2021.0,2021Q3,Neuquén,29650.0,73794.0,16455.0,19270.0,640.0,139809.0
2021.0,2021Q3,Río Negro,47934.0,44519.0,18725.0,15031.0,18376.0,144585.0
2021.0,2021Q3,Salta,49212.0,98318.0,36126.0,5724.0,6453.0,195833.0
2021.0,2021Q3,San Juan,40072.0,12922.0,6670.0,11372.0,8447.0,79483.0
2021.0,2021Q3,San Luis,8417.0,11884.0,27.0,68856.0,28680.0,117864.0
2021.0,2021Q3,Santa Cruz,12347.0,22961.0,6328.0,4269.0,3071.0,48976.0
2021.0,2021Q3,Santa Fe,245929.0,443156.0,93412.0,43447.0,15640.0,841584.0
2021.0,2021Q3,Santiago Del Estero,19939.0,85535.0,909.0,6147.0,2928.0,115458.0
2021.0,2021Q3,Tierra Del Fuego,12853.0,36958.0,6.0,16.0,390.0,50223.0
2021.0,2021Q3,Tucumán,104489.0,53868.0,70964.0,2408.0,743.0,232472.0
2021.0,2021Q2,Buenos Aires,603255.0,2503830.0,854173.0,113546.0,57547.0,4132351.0
2021.0,2021Q2,Capital Federal,148989.0,1175097.0,41318.0,5580.0,29371.0,1400355.0
2021.0,2021Q2,Catamarca,20305.0,9426.0,22331.0,1449.0,2233.0,55744.0
2021.0,2021Q2,Chaco,39826.0,62948.0,27584.0,8018.0,2353.0,140729.0
2021.0,2021Q2,Chubut,49271.0,41497.0,6081.0,23682.0,18706.0,139237.0
2021.0,2021Q2,Córdoba,239780.0,467782.0,151855.0,55944.0,15519.0,930880.0
