país,Provincia,Partido,Localidad,link Indec,Velocidad (Mbps),Accesos,Provincia_encoded,Partido_encoded,Localidad_encoded
Argentina,Buenos Aires,Adolfo Alsina,Maza,6007070,0.5,2.0,0,5,1639
Argentina,Buenos Aires,Adolfo Alsina,Maza,6007070,5.0,386.0,0,5,1639
Argentina,Buenos Aires,Adolfo Alsina,Maza,6007070,10.0,6.0,0,5,1639
Argentina,Buenos Aires,Adolfo Alsina,Maza,6007070,20.0,2.0,0,5,1639
Argentina,Buenos Aires,Adolfo Alsina,Rivera,6007080,20.0,1252.0,0,5,2056
Argentina,Buenos Aires,Adolfo Alsina,Rivera,6007080,35.0,26.0,0,5,2056
Argentina,Buenos Aires,Adolfo Alsina,Rivera,6007080,50.0,31.0,0,5,2056
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0.75,3.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,3.5,147.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,8.0,447.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,10.0,122.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,12.0,1.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,15.0,1422.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,30.0,44.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,50.0,1.0,0,6,28
Argentina,Buenos Aires,Adolfo Gonzales Chaves,De La Garma,6014020,4.0,632.0,0,6,713
Argentina,Buenos Aires,Adolfo Gonzales Chaves,De La Garma,6014020,7.0,7.0,0,6,713
Argentina,Buenos Aires,Adolfo Gonzales Chaves,De La Garma,6014020,8.0,28.0,0,6,713
Argentina,Buenos Aires,Adolfo Gonzales Chaves,De La Garma,6014020,10.0,45.0,0,6,713
Argentina,Buenos Aires,Adolfo Gonzales Chaves,De La Garma,6014020,15.0,5.0,0,6,713
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Juan E. Barra,6014030,4.0,46.0,0,6,1217
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Vásquez,6014040,3.0,12.0,0,6,2742
Argentina,Buenos Aires,Adolfo Gonzales Chaves,Vásquez,6014040,4.0,2.0,0,6,2742
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0.75,2.0,0,10,54
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,2.0,1.0,0,10,54
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,3.5,40.0,0,10,54
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,5.0,1.0,0,10,54
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,8.0,116.0,0,10,54
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,15.0,302.0,0,10,54
Argentina,Buenos Aires,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,100.0,1.0,0,10,54
Argentina,Buenos Aires,Alberti,Coronel Seguí,6021020,15.0,5.0,0,10,665
Argentina,Buenos Aires,Alberti,Mechita,6021030,3.0,275.0,0,10,1641
Argentina,Buenos Aires,Alberti,Mechita,6021030,5.0,10.0,0,10,1641
Argentina,Buenos Aires,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,15.0,24.0,0,10,2666
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,0.0,1.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,0.256,1.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,0.5,10.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,0.512,1.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,0.75,34.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,1.0,21.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,2.0,8.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,3.5,63.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,4.0,7.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,5.0,5.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,6.0,12.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,8.0,37.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,10.0,170.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,15.0,112.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,20.0,1.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,25.0,3.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,30.0,11550.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,50.0,509.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,60.0,37.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,75.0,9.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,100.0,2727.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,150.0,944.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,200.0,1.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,300.0,3966.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,500.0,504.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Adrogué,6028010,1000.0,365.0,0,11,30
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,0.0,52.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,0.256,1.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,0.5,9.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,0.512,1.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,0.75,23.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,1.0,15.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,2.0,78.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,3.0,14.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,3.5,34.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,4.0,115.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,5.0,14.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,6.0,82.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,8.0,30.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,10.0,393.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,15.0,60.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,20.0,2.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,25.0,2.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,30.0,11384.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,50.0,382.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,60.0,186.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,75.0,15.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,100.0,2084.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,150.0,3756.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,200.0,5.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,300.0,7154.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,500.0,959.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Burzaco,6028010,1000.0,1017.0,0,11,323
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,0.0,1.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,0.75,2.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,1.0,6.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,3.0,2.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,3.5,3.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,5.0,3.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,6.0,5.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,10.0,149.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,30.0,4108.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,50.0,117.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,60.0,64.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,75.0,5.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,100.0,696.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,150.0,1809.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,300.0,3538.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,500.0,497.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Claypole,6028010,1000.0,503.0,0,11,541
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,5.0,2.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,10.0,128.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,15.0,42.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,30.0,1.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,50.0,12.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,60.0,91.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,75.0,2.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,100.0,36.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,150.0,1776.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,300.0,2535.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,500.0,370.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Don Orione,6028010,1000.0,439.0,0,11,743
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,0.0,1.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,0.5,5.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,0.75,7.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,1.0,4.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,2.0,15.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,3.0,5.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,3.5,27.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,4.0,29.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,5.0,8.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,6.0,12.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,8.0,16.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,10.0,138.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,15.0,8.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,25.0,27.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,30.0,11735.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,50.0,134.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,60.0,81.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,75.0,2.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,100.0,676.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,150.0,2725.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,300.0,3834.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,500.0,499.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Glew,6028010,1000.0,699.0,0,11,1043
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,1.0,1.0,0,11,1200
Argentina,Buenos Aires,Almirante Brown,Jose Mármol,6028010,3.5,2.0,0,11,1200
