Tecnologia,Localidad,Accesos
ADSL,Garuhapé,40.0
ADSL,Garupá,757.0
ADSL,Garza,1.0
ADSL,Garín,3361.0
ADSL,General Acha,132.0
ADSL,General Alvear,527.0
ADSL,General Baldissera,451.0
ADSL,General Belgrano,433.0
ADSL,General Cabrera,412.0
ADSL,General Campos,1.0
ADSL,General Conesa,111.0
ADSL,General Daniel Cerri  (Est. General Cerri),320.0
ADSL,General Deheza,2.0
ADSL,General Fernández Oro,238.0
ADSL,General Fotheringham,24.0
ADSL,General Galarza,2.0
ADSL,General Gelly,189.0
ADSL,General Güemes,928.0
ADSL,General José de San Martín,69.0
ADSL,General Juan Madariaga,352.0
ADSL,General La Madrid,1948.0
ADSL,General Lagos,400.0
ADSL,General Las Heras  (Est. Las Heras),156.0
ADSL,General Lucio Victorio Mansilla,4.0
ADSL,General Mosconi,456.0
ADSL,General O'Brien,321.0
ADSL,General Pacheco,1414.0
ADSL,General Paz,157.0
ADSL,General Pico,2091.0
ADSL,General Pinedo,113.0
ADSL,General Ramírez,409.0
ADSL,General Rivas,96.0
ADSL,General Roca,4387.0
ADSL,General Rodríguez,666.0
ADSL,General Vedia,89.0
ADSL,General Villegas  (Est. Villegas),71.0
ADSL,Gerli,10.0
ADSL,Germania  (Est. Mayor José Orellano),1112.0
ADSL,Gessler,81.0
ADSL,Girodias,47.0
ADSL,Glew,11.0
ADSL,Gobernador Crespo,119.0
ADSL,Gobernador Igr. Valentín Virasoro,574.0
ADSL,Gobernador Roca,164.0
ADSL,Godoy Cruz,2110.0
ADSL,Gonzalez Catán,12.0
ADSL,Gorostiaga,55.0
ADSL,Goya,879.0
ADSL,Grand Bourg,477.0
ADSL,Gregorio De Laferrere,18.0
ADSL,Grutly,93.0
ADSL,Guadalupe Norte,70.0
ADSL,Gualeguay,3531.0
ADSL,Gualeguaychú,3045.0
ADSL,Guaraní,3.0
ADSL,Guardia Escolta,5.0
ADSL,Guatimozín,146.0
ADSL,Guaymallén,1210.0
ADSL,Guernica,20.0
ADSL,Guerrero,43.0
ADSL,Guillermo E. Hudson,67.0
ADSL,Gálvez,3242.0
ADSL,Haedo,107.0
ADSL,Hale,10.0
ADSL,Hasse,1.0
ADSL,Henderson,79.0
ADSL,Hernando,248.0
ADSL,Hernán Mejía Miraval,1.0
ADSL,Hernández,94.0
ADSL,Herrera,87.0
ADSL,Hinojo,9.0
ADSL,Hipólito Yrigoyen,457.0
ADSL,Huinca Renancó,572.0
ADSL,Humahuaca,301.0
ADSL,Humberto Primo,167.0
ADSL,Humboldt,200.0
ADSL,Hurlingham,297.0
ADSL,Ibarreta,214.0
ADSL,Ingeniero Adolfo Sourdeaux,232.0
ADSL,Ingeniero Giagnoni,2297.0
ADSL,Ingeniero Guillermo N. Juárez,180.0
ADSL,Ingeniero Jacobacci,197.0
ADSL,Ingeniero Juan Allan,424.0
ADSL,Ingeniero Luis A. Huergo,247.0
ADSL,Ingeniero Maschwitz,264.0
ADSL,Ingeniero Pablo Nogués,25.0
ADSL,Ingenio San Pablo,530.0
ADSL,Inriville,185.0
ADSL,Intendente Alvear,67.0
ADSL,Isidro Casanova,25.0
ADSL,Isla Verde,450.0
ADSL,Itatí,297.0
ADSL,Ituzaingó,1212.0
ADSL,Ituzaingó Centro,148.0
ADSL,Itá Ibaté,78.0
ADSL,Jacinto Arauz,631.0
ADSL,James Craik,103.0
ADSL,Jardín América,294.0
ADSL,Jeppener,815.0
ADSL,Jesús María,645.0
ADSL,Joaquín V. González,450.0
ADSL,Jose Ingenieros,11.0
ADSL,Josefina,10.0
ADSL,José C Paz,1282.0
ADSL,José Maria Ezeiza,38.0
ADSL,José María Jáuregui (Est. Jáuregui),425.0
ADSL,Juan Anchorena  (Est. Urquiza),29.0
ADSL,Juan B. Molina,350.0
ADSL,Juan Bautista Alberdi,432.0
ADSL,Juan Bautista Alberdi  (Est. Alberdi),252.0
ADSL,Juan José Castelli,333.0
ADSL,Juan María Gutierrez,94.0
ADSL,Juan N. Fernández,525.0
ADSL,Juana Koslay,128.0
ADSL,Juncal,256.0
ADSL,Junín,2699.0
ADSL,Junín de los Andes,320.0
ADSL,Justo Daract,80.0
ADSL,La Angelita,26.0
ADSL,La Banda,26.0
