Año,Trimestre,Provincia,Mbps (Media de bajada)
2023,2023Q2,Córdoba,111.82
2023,2023Q2,Corrientes,97.21
2023,2023Q2,Entre Ríos,89.37
2023,2023Q2,Formosa,77.32
2023,2023Q2,Jujuy,43.56
2023,2023Q2,La Pampa,22.78
2023,2023Q2,La Rioja,63.55
2023,2023Q2,Mendoza,42.69
2023,2023Q2,Misiones,90.55
2023,2023Q2,Neuquén,93.97
2023,2023Q2,Río Negro,70.76
2023,2023Q2,Salta,79.1
2023,2023Q2,San Juan,20.39
2023,2023Q2,San Luis,103.84
2023,2023Q2,Santa Cruz,15.48
2023,2023Q2,Santa Fe,94.87
2023,2023Q2,Santiago Del Estero,37.62
2023,2023Q2,Tierra Del Fuego,16.92
2023,2023Q2,Tucumán,96.69
2023,2023Q1,Buenos Aires,116.18
2023,2023Q1,Capital Federal,188.65
2023,2023Q1,Catamarca,87.41
2023,2023Q1,Chaco,104.33
2023,2023Q1,Chubut,18.36
2023,2023Q1,Córdoba,109.57
2023,2023Q1,Corrientes,94.8
2023,2023Q1,Entre Ríos,86.71
2023,2023Q1,Formosa,73.96
2023,2023Q1,Jujuy,42.75
2023,2023Q1,La Pampa,20.09
2023,2023Q1,La Rioja,63.13
2023,2023Q1,Mendoza,41.45
2023,2023Q1,Misiones,89.81
2023,2023Q1,Neuquén,93.42
2023,2023Q1,Río Negro,74.4
2023,2023Q1,Salta,76.85
2023,2023Q1,San Juan,18.7
2023,2023Q1,San Luis,55.85
2023,2023Q1,Santa Cruz,14.98
2023,2023Q1,Santa Fe,92.22
2023,2023Q1,Santiago Del Estero,36.27
2023,2023Q1,Tierra Del Fuego,14.58
2023,2023Q1,Tucumán,95.79
2022,2022Q4,Buenos Aires,111.0
2022,2022Q4,Capital Federal,182.86
2022,2022Q4,Catamarca,83.33
2022,2022Q4,Chaco,104.02
2022,2022Q4,Chubut,15.92
2022,2022Q4,Córdoba,108.77
2022,2022Q4,Corrientes,94.72
2022,2022Q4,Entre Ríos,87.47
2022,2022Q4,Formosa,72.03
2022,2022Q4,Jujuy,39.32
2022,2022Q4,La Pampa,19.1
2022,2022Q4,La Rioja,61.0
2022,2022Q4,Mendoza,38.76
2022,2022Q4,Misiones,91.24
2022,2022Q4,Neuquén,95.37
2022,2022Q4,Río Negro,75.31
2022,2022Q4,Salta,75.93
2022,2022Q4,San Juan,16.39
2022,2022Q4,San Luis,30.67
2022,2022Q4,Santa Cruz,14.33
2022,2022Q4,Santa Fe,90.3
2022,2022Q4,Santiago Del Estero,34.4
2022,2022Q4,Tierra Del Fuego,13.48
2022,2022Q4,Tucumán,88.33
2022,2022Q3,Buenos Aires,70.19
2022,2022Q3,Capital Federal,101.05
2022,2022Q3,Catamarca,60.99
2022,2022Q3,Chaco,53.21
2022,2022Q3,Chubut,15.57
2022,2022Q3,Córdoba,56.32
2022,2022Q3,Corrientes,45.07
2022,2022Q3,Entre Ríos,42.49
2022,2022Q3,Formosa,30.35
2022,2022Q3,Jujuy,32.43
2022,2022Q3,La Pampa,18.1
2022,2022Q3,La Rioja,44.3
2022,2022Q3,Mendoza,34.16
2022,2022Q3,Misiones,49.3
2022,2022Q3,Neuquén,47.81
2022,2022Q3,Río Negro,34.13
2022,2022Q3,Salta,41.33
2022,2022Q3,San Juan,15.84
2022,2022Q3,San Luis,19.33
2022,2022Q3,Santa Cruz,12.6
2022,2022Q3,Santa Fe,45.15
2022,2022Q3,Santiago Del Estero,17.69
2022,2022Q3,Tierra Del Fuego,11.01
2022,2022Q3,Tucumán,53.36
2022,2022Q2,Buenos Aires,65.5
2022,2022Q2,Capital Federal,93.97
2022,2022Q2,Catamarca,56.56
2022,2022Q2,Chaco,50.61
2022,2022Q2,Chubut,14.91
2022,2022Q2,Córdoba,53.51
2022,2022Q2,Corrientes,43.31
2022,2022Q2,Entre Ríos,40.03
2022,2022Q2,Formosa,28.47
2022,2022Q2,Jujuy,29.39
2022,2022Q2,La Pampa,16.07
2022,2022Q2,La Rioja,43.28
2022,2022Q2,Mendoza,29.72
2022,2022Q2,Misiones,46.23
2022,2022Q2,Neuquén,46.53
2022,2022Q2,Río Negro,33.26
2022,2022Q2,Salta,38.77
2022,2022Q2,San Juan,14.44
2022,2022Q2,San Luis,19.32
2022,2022Q2,Santa Cruz,11.81
2022,2022Q2,Santa Fe,42.01
2022,2022Q2,Santiago Del Estero,16.34
2022,2022Q2,Tierra Del Fuego,10.97
2022,2022Q2,Tucumán,50.09
2022,2022Q1,Buenos Aires,62.51
2022,2022Q1,Capital Federal,88.22
2022,2022Q1,Catamarca,51.22
2022,2022Q1,Chaco,45.84
2022,2022Q1,Chubut,13.4
2022,2022Q1,Córdoba,49.89
2022,2022Q1,Corrientes,38.11
2022,2022Q1,Entre Ríos,35.59
2022,2022Q1,Formosa,30.28
2022,2022Q1,Jujuy,27.69
2022,2022Q1,La Pampa,14.84
2022,2022Q1,La Rioja,41.37
2022,2022Q1,Mendoza,26.2
2022,2022Q1,Misiones,41.87
2022,2022Q1,Neuquén,43.05
2022,2022Q1,Río Negro,31.09
2022,2022Q1,Salta,36.71
2022,2022Q1,San Juan,11.99
2022,2022Q1,San Luis,20.95
2022,2022Q1,Santa Cruz,10.89
2022,2022Q1,Santa Fe,38.89
2022,2022Q1,Santiago Del Estero,14.5
2022,2022Q1,Tierra Del Fuego,10.73
2022,2022Q1,Tucumán,47.24
2021,2021Q4,Buenos Aires,60.2091238315554
2021,2021Q4,Capital Federal,82.9499549654225
2021,2021Q4,Catamarca,46.3800577589391
2021,2021Q4,Chaco,42.3426375146886
2021,2021Q4,Chubut,9.08266063855547
2021,2021Q4,Córdoba,46.3609074579921
2021,2021Q4,Corrientes,35.772659194287
2021,2021Q4,Entre Ríos,33.3171258416746
2021,2021Q4,Formosa,28.7576489476942
2021,2021Q4,Jujuy,27.1443430384171
2021,2021Q4,La Pampa,13.8538828428544
2021,2021Q4,La Rioja,39.69594513668
2021,2021Q4,Mendoza,22.2315834010052
2021,2021Q4,Misiones,38.9033492509076
2021,2021Q4,Neuquén,40.0925301111676
2021,2021Q4,Río Negro,27.2031704548921
