Provincia,Partido,Localidad,Link Indec,Velocidad (Mbps),Accesos
BUENOS AIRES,ADOLFO GONZALES CHAVES,DE LA GARMA,6014020,10.0,45.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,DE LA GARMA,6014020,15.0,5.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,JUAN E. BARRA,6014030,4.0,46.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,VÁSQUEZ,6014040,3.0,12.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,VÁSQUEZ,6014040,4.0,2.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,0.75,2.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,2.0,1.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,3.5,40.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,5.0,1.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,8.0,116.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,15.0,302.0
BUENOS AIRES,ALBERTI,ALBERTI   (EST. ANDRÉS VACCAREZZA),6021010,100.0,1.0
BUENOS AIRES,ALBERTI,CORONEL SEGUÍ,6021020,15.0,5.0
BUENOS AIRES,ALBERTI,MECHITA,6021030,3.0,275.0
BUENOS AIRES,ALBERTI,MECHITA,6021030,5.0,10.0
BUENOS AIRES,ALBERTI,VILLA ORTIZ  (EST. CORONEL MOM),6021070,15.0,24.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,0.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,0.256,1.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,0.5,10.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,0.512,1.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,0.75,34.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,1.0,21.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,2.0,8.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,3.5,63.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,4.0,7.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,5.0,5.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,6.0,12.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,8.0,37.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,10.0,170.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,15.0,112.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,20.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,25.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,30.0,11550.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,50.0,509.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,60.0,37.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,75.0,9.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,100.0,2727.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,150.0,944.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,200.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,300.0,3966.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,500.0,504.0
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,6028010,1000.0,365.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,0.0,52.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,0.256,1.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,0.5,9.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,0.512,1.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,0.75,23.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,1.0,15.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,2.0,78.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,3.0,14.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,3.5,34.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,4.0,115.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,5.0,14.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,6.0,82.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,8.0,30.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,10.0,393.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,15.0,60.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,20.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,25.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,30.0,11384.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,50.0,382.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,60.0,186.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,75.0,15.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,100.0,2084.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,150.0,3756.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,200.0,5.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,300.0,7154.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,500.0,959.0
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,6028010,1000.0,1017.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,0.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,0.75,2.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,1.0,6.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,3.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,3.5,3.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,5.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,6.0,5.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,10.0,149.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,30.0,4108.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,50.0,117.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,60.0,64.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,75.0,5.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,100.0,696.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,150.0,1809.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,300.0,3538.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,500.0,497.0
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,6028010,1000.0,503.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,5.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,10.0,128.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,15.0,42.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,30.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,50.0,12.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,60.0,91.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,75.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,100.0,36.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,150.0,1776.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,300.0,2535.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,500.0,370.0
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,6028010,1000.0,439.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,0.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,0.5,5.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,0.75,7.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,1.0,4.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,2.0,15.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,3.0,5.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,3.5,27.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,4.0,29.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,5.0,8.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,6.0,12.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,8.0,16.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,10.0,138.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,15.0,8.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,25.0,27.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,30.0,11735.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,50.0,134.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,60.0,81.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,75.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,100.0,676.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,150.0,2725.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,300.0,3834.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,500.0,499.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,6028010,1000.0,699.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,1.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,3.5,2.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,5.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,6.0,1.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,8.0,3.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,10.0,156.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,25.0,2.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,30.0,1381.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,50.0,166.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,60.0,58.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,6028010,75.0,6.0
