Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,ALMIRANTE BROWN,GLEW,Otros,6028010,12.0
BUENOS AIRES,ALMIRANTE BROWN,GLEW,WIRELESS,6028010,54.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,CABLEMODEM,6028010,7243.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,DIAL UP,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,FIBRA OPTICA,6028010,1605.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,Otros,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,WIRELESS,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,ADSL,6028010,16.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,CABLEMODEM,6028010,8913.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,DIAL UP,6028010,20.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,FIBRA OPTICA,6028010,8223.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,Otros,6028010,4.0
BUENOS AIRES,ALMIRANTE BROWN,LONGCHAMPS,WIRELESS,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,ADSL,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,CABLEMODEM,6028010,4501.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,DIAL UP,6028010,3.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,FIBRA OPTICA,6028010,787.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,Otros,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,MALVINAS ARGENTINAS,WIRELESS,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,ADSL,6028010,3.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,CABLEMODEM,6028010,3544.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,DIAL UP,6028010,4.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,FIBRA OPTICA,6028010,4309.0
BUENOS AIRES,ALMIRANTE BROWN,MINISTRO RIVADAVIA,WIRELESS,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,ADSL,6028010,9.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,CABLEMODEM,6028010,10634.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,DIAL UP,6028010,14.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,FIBRA OPTICA,6028010,10091.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,Otros,6028010,178.0
BUENOS AIRES,ALMIRANTE BROWN,RAFAEL CALZADA,WIRELESS,6028010,340.0
BUENOS AIRES,ALMIRANTE BROWN,SAN FRANCISCO SOLANO,ADSL,6028010,3.0
BUENOS AIRES,ALMIRANTE BROWN,SAN FRANCISCO SOLANO,CABLEMODEM,6028010,4227.0
BUENOS AIRES,ALMIRANTE BROWN,SAN FRANCISCO SOLANO,DIAL UP,6028010,4.0
BUENOS AIRES,ALMIRANTE BROWN,SAN FRANCISCO SOLANO,FIBRA OPTICA,6028010,4746.0
BUENOS AIRES,ALMIRANTE BROWN,SAN FRANCISCO SOLANO,Otros,6028010,127.0
BUENOS AIRES,ALMIRANTE BROWN,SAN FRANCISCO SOLANO,WIRELESS,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,SAN JOSE,ADSL,6028010,2.0
BUENOS AIRES,ALMIRANTE BROWN,SAN JOSE,CABLEMODEM,6028010,8599.0
BUENOS AIRES,ALMIRANTE BROWN,SAN JOSE,DIAL UP,6028010,1.0
BUENOS AIRES,ALMIRANTE BROWN,SAN JOSE,FIBRA OPTICA,6028010,1166.0
BUENOS AIRES,ALMIRANTE BROWN,SAN JOSE,SATELITAL,6028010,3.0
BUENOS AIRES,ALMIRANTE BROWN,SAN JOSE,WIRELESS,6028010,1.0
BUENOS AIRES,AMBA,OTROS,CABLEMODEM,Sin Datos,0.0
BUENOS AIRES,AMBA,OTROS,OTROS,Sin Datos,0.0
